sourceGenusName	sourceSubgenusName	sourceSpecificEpithetName	Trypanosoma sp.	interactionTypeName	interactionTypeId		Host Species	Geographic Location	Geographic Location	referencePMID	referenceDoi	referenceCitation	Ref.
Trypanosoma	Megatrypanum	pifanoi	T. pifanoi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Phillostomus hastatus	Artibeus lituratus Phillostomus hastatus	Colombia	Colombia			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5,88]
Trypanosoma	Megatrypanum	pifanoi	T. pifanoi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Phillostomus hastatus	Artibeus lituratus Phillostomus hastatus	Colombia	Colombia	5703084	10.1111/j.1550-7408.1968.tb02182.x 	Marinkelle CJ, Duarte CA. Trypanosoma pifanoi n. sp. from Colombian bats. J Protozool. 1968 Aug;15(3):621-7. doi: 10.1111/j.1550-7408.1968.tb02182.x. PMID: 5703084.	[5,88]
Trypanosoma	Megatrypanum	possoai	T. possoai	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Desmodus rotundus	Desmodus rotundus  P. kuhlii	Brazil	Brazil	14103096		DEANE LM, SUGAY W. TRYPANOSOMA PESSOAI N. SP., IN VAMPIRE BATS DESMODUS ROTUNDUS ROTUNDUS FROM THE STATE OF S AO PAULO, BRAZIL. Rev Inst Med Trop Sao Paulo. 1963 Jul-Aug;5:165-9. PMID: 14103096.	[19]
Trypanosoma	Megatrypanum	possoai	T. possoai	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Desmodus rotundus  P. kuhlii	Brazil	Brazil	14103096		DEANE LM, SUGAY W. TRYPANOSOMA PESSOAI N. SP., IN VAMPIRE BATS DESMODUS ROTUNDUS ROTUNDUS FROM THE STATE OF S AO PAULO, BRAZIL. Rev Inst Med Trop Sao Paulo. 1963 Jul-Aug;5:165-9. PMID: 14103096.	[19]
Trypanosoma	Megatrypanum	rhinopoma	T. rhinopoma	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Rhinopoma hardwickei	Rhinopoma hardwickei	India	India	3405632	10.1017/s0031182000080082 	Gardner RA, Molyneux DH. Trypanosoma (Megatrypanum) incertum from Pipistrellus pipistrellus: development and transmission by cimicid bugs. Parasitology. 1988 Jun;96 ( Pt 3):433-47. doi: 10.1017/s0031182000080082. PMID: 3405632.	[32,89]
Trypanosoma	Megatrypanum	rhinopoma	T. rhinopoma	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Rhinopoma hardwickei	Rhinopoma hardwickei	India	India			Bandyopadhyay S., Ray R., Dasgupta B. A new species of Trypanosoma from an Indian insectivotous bat, Rhinopoma hardwickei Gray. Acta Protozool. 1982;21:189–195. 	[32,89]
Trypanosoma	Megatrypanum	scotophila	T. scotophila	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Scotophilus heathi horsfield	Scotophilus heathi horsfield	China	China	3405632	10.1017/s0031182000080082 	Gardner RA, Molyneux DH. Trypanosoma (Megatrypanum) incertum from Pipistrellus pipistrellus: development and transmission by cimicid bugs. Parasitology. 1988 Jun;96 ( Pt 3):433-47. doi: 10.1017/s0031182000080082. PMID: 3405632.	[32,90]
Trypanosoma	Megatrypanum	scotophila	T. scotophila	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Scotophilus heathi horsfield	Scotophilus heathi horsfield	China	China			Liao G.Y. Malaria and Other Protozoal Infections. Zhongshan University; Guangzhou, China: 1982. Biology of a new trypanosome: Trypanosoma (Megatrypanum) scotophila sp.nov. from the bat Scotophilus heathi Horsfield.	[32,90]
Trypanosoma	Megatrypanum	thomasi	T. thomasi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris macrotis	Nycteris macrotis	Congo	Congo		10.1111/j.1469-7998.1971.tb04542.x	Keymer I.F. Blood Protozoa of Insectivores, Bats and Primates in Central Africa. J. Zool. 1971;163:421–441. doi: 10.1111/j.1469-7998.1971.tb04542.x.	[91,92]
Trypanosoma	Megatrypanum	thomasi	T. thomasi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nycteris macrotis	Nycteris macrotis	Congo	Congo	13403454	10.1051/parasite/1956315481	Lips M., Rodhain J. Quelques hematozoaires de petits mammiferes du Haut-Katang. Annls. Parasit. Hum. Comp. 1956;31:481–488. doi: 10.1051/parasite/1956315481.	[91,92]
Trypanosoma	Herpetosoma	lineatum	T. lineatum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Vampyrops lineatum	Vampyrops lineatum	Venezuela	Venezuela	916139	10.7589/0090-3558-13.3.262	Marinkelle C.J. Trypanosoma (Herpetosoma) longiflagellum sp.n. from the tomb bat, Taphozous nudiventris, from Iraq. J. Wildl. Dis. 1977;13:262–264. doi: 10.7589/0090-3558-13.3.262.	[93]
Trypanosoma	Herpetosoma	longiflagellum	T. longiflagellum	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Taphozous nudiventris	Taphozous nudiventris	Iraq	Iraq	916139	10.7589/0090-3558-13.3.262	Marinkelle C.J. Trypanosoma (Herpetosoma) longiflagellum sp.n. from the tomb bat, Taphozous nudiventris, from Iraq. J. Wildl. Dis. 1977;13:262–264. doi: 10.7589/0090-3558-13.3.262.	[93]
Trypanosoma	Herpetosoma	anauwa	T. anauwa	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Miniopterus tristris	Miniopterus tristris	Papua New Guinea	Papua New Guinea	4814789	10.2307/3278695	Ewers W.H. Trypanosoma aunawa sp. n. from an insectivorous bat, Miniopterus tristris, in New Guinea, which may be transmitted by a leech. J. Parasitol. 1974;60:172–178. doi: 10.2307/3278695.	[27]
Trypanosoma	Herpetosoma	evansi	T. evansi	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Desmodus rotundus	D. rotundus	Latin America	Latin America			Hoare, Cecil A. "The trypanosomes of mammals. A zoological monograph." The trypanosomes of mammals. A zoological monograph. (1972).	[5]
Trypanosoma	Herpetosoma	vegrandis	T. vegrandis	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Chalinolobus gouldii	Chalinolobus gouldii  Nyctophilus geoffroyi  Pteropus Alecto  Pteropus scapulatus	Australia	Australia	26541211	10.1016/j.vetpar.2015.10.016	Austen JM, O'Dea M, Jackson B, Ryan U. High prevalence of Trypanosoma vegrandis in bats from Western Australia. Vet Parasitol. 2015 Dec 15;214(3-4):342-7. doi: 10.1016/j.vetpar.2015.10.016. Epub 2015 Oct 20. PMID: 26541211; PMCID: PMC7116909.	[45]
Trypanosoma	Herpetosoma	vegrandis	T. vegrandis	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Nyctophilus geoffroyi	Chalinolobus gouldii  Nyctophilus geoffroyi  Pteropus Alecto  Pteropus scapulatus	Australia	Australia	26541211	10.1016/j.vetpar.2015.10.016	Austen JM, O'Dea M, Jackson B, Ryan U. High prevalence of Trypanosoma vegrandis in bats from Western Australia. Vet Parasitol. 2015 Dec 15;214(3-4):342-7. doi: 10.1016/j.vetpar.2015.10.016. Epub 2015 Oct 20. PMID: 26541211; PMCID: PMC7116909.	[45]
Trypanosoma	Herpetosoma	vegrandis	T. vegrandis	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pteropus alecto	Chalinolobus gouldii  Nyctophilus geoffroyi  Pteropus Alecto  Pteropus scapulatus	Australia	Australia	26541211	10.1016/j.vetpar.2015.10.016	Austen JM, O'Dea M, Jackson B, Ryan U. High prevalence of Trypanosoma vegrandis in bats from Western Australia. Vet Parasitol. 2015 Dec 15;214(3-4):342-7. doi: 10.1016/j.vetpar.2015.10.016. Epub 2015 Oct 20. PMID: 26541211; PMCID: PMC7116909.	[45]
Trypanosoma	Herpetosoma	vegrandis	T. vegrandis	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pteropus scapulatus	Chalinolobus gouldii  Nyctophilus geoffroyi  Pteropus Alecto  Pteropus scapulatus	Australia	Australia	26541211	10.1016/j.vetpar.2015.10.016	Austen JM, O'Dea M, Jackson B, Ryan U. High prevalence of Trypanosoma vegrandis in bats from Western Australia. Vet Parasitol. 2015 Dec 15;214(3-4):342-7. doi: 10.1016/j.vetpar.2015.10.016. Epub 2015 Oct 20. PMID: 26541211; PMCID: PMC7116909.	[45]
